folder,accuracy
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.14285714285714285
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.42857142857142855
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.5714285714285714
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.5714285714285714
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.14285714285714285
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.5714285714285714
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.0
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.42857142857142855
ccpd_blur,0.42857142857142855
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.14285714285714285
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
ccpd_blur,0.2857142857142857
